date,place,ondo,price
2015-01-02,100,-10.6,380
2015-01-05,100,-1.6,380
2015-01-06,100,-3.6,380
2015-01-07,100,-11.2,380
2015-01-08,100,-10.6,380
2015-01-09,100,-6.9,380
2015-01-12,100,-8.1,380
2015-01-13,100,-5.1,380
2015-01-14,100,-1.6,380
2015-01-15,100,-1.2,380
2015-01-16,100,-3.9,380
2015-01-19,100,-3.3,380
2015-01-20,100,-5.1,380
2015-01-21,100,-1.9,380
2015-01-22,100,-2.1,380
2015-01-23,100,-4.9,380
2015-01-26,100,2.1,380
2015-01-27,100,-3.8,380
2015-01-28,100,-8.9,380
2015-01-29,100,-6.3,380
2015-01-30,100,-5.9,380
2015-02-02,100,-7.1,390
2015-02-03,100,-5.7,390
2015-02-04,100,-5.6,390
2015-02-05,100,-4.6,390
2015-02-06,100,-3.9,390
2015-02-09,100,-10.7,400
2015-02-10,100,-3.3,400
2015-02-11,100,-0.6,410
2015-02-12,100,-5.7,440
2015-02-13,100,-6.3,440
2015-02-16,100,0.2,440
2015-02-17,100,-2.1,440
2015-02-23,100,-2.7,410
2015-02-24,100,-1.6,410
2015-02-25,100,0.9,440
2015-02-26,100,-2.1,440
2015-02-27,100,-6.3,440
2015-03-02,100,-0.5,450
2015-03-03,100,0.4,450
2015-03-04,100,-6.3,470
2015-03-05,100,-7,470
2015-03-06,100,-3.3,470
2015-03-09,100,-0.1,470
2015-03-10,100,-8.1,470
2015-03-11,100,-5.2,470
2015-03-12,100,-3.1,480
2015-03-13,100,-0.4,480
2015-03-16,100,6.8,480
2015-03-17,100,8.5,480
2015-03-18,100,2.2,490
2015-03-19,100,7.7,500
2015-03-20,100,8.1,490
2015-03-23,100,-0.3,510
2015-03-24,100,-1.7,510
2015-03-25,100,1,510
2015-03-26,100,6.1,510
2015-03-27,100,8.1,510
2015-03-30,100,10.5,500
2015-03-31,100,10.7,500
2015-04-01,100,2.5,490
2015-04-02,100,9.9,500
2015-04-03,100,8.1,500
2015-04-06,100,4.6,500
2015-04-07,100,-1.4,500
2015-04-08,100,0.4,500
2015-04-09,100,3,480
2015-04-10,100,4.4,480
2015-04-13,100,2.3,480
2015-04-14,100,2.2,480
2015-04-15,100,6.1,480
2015-04-16,100,8,480
2015-04-17,100,7.9,480
2015-04-20,100,4.4,480
2015-04-21,100,9.5,490
2015-04-22,100,10.5,490
2015-04-23,100,11.2,510
2015-04-24,100,11,510
2015-04-27,100,17.1,530
2015-04-28,100,14,530
2015-04-29,100,11.6,540
2015-04-30,100,14.7,550
2015-05-04,100,13,590
2015-05-06,100,12.5,670
2015-05-07,100,13.1,690
2015-05-08,100,14.2,690
2015-05-11,100,13.4,710
2015-05-12,100,11.2,735
2015-05-13,100,14.7,735
2015-05-14,100,18.1,735
2015-05-15,100,17.7,735
2015-05-18,100,14.5,1070
2015-05-19,100,13.6,1110
2015-05-20,100,10.4,1110
2015-05-21,100,13.9,1130
2015-05-22,100,17.5,1110
2015-05-26,100,19.3,1110
2015-05-27,100,17.8,1100
2015-05-28,100,16.4,1080
2015-05-29,100,18.5,1050
2015-06-01,100,17.2,900
2015-06-02,100,18.8,900
2015-06-03,100,15.3,860
2015-06-04,100,15.3,760
2015-06-05,100,12,760
2015-06-08,100,16,740
2015-06-09,100,18.4,750
2015-06-10,100,18.4,760
2015-06-11,100,17.5,810
2015-06-12,100,18.6,800
2015-06-15,100,17.4,760
2015-06-16,100,17.1,710
2015-06-17,100,13.5,710
2015-06-18,100,14.4,670
2015-06-19,100,12.5,670
2015-06-22,100,17.7,680
2015-06-23,100,17.1,690
2015-06-24,100,16,700
2015-06-25,100,16.7,700
2015-06-26,100,14.8,700
2015-06-29,100,20.9,700
2015-06-30,100,16,700
2015-07-01,100,17.3,700
2015-07-02,100,17.6,700
2015-07-03,100,15,700
2015-07-06,100,15.6,700
2015-07-07,100,15.6,700
2015-07-08,100,14.8,700
2015-07-09,100,15.9,700
2015-07-10,100,18.6,700
2015-07-13,100,20.6,700
2015-07-14,100,20.6,700
2015-07-15,100,16.5,700
2015-07-16,100,13.4,640
2015-07-17,100,14.1,630
2015-07-20,100,17.8,630
2015-07-21,100,20.5,610
2015-07-22,100,21.6,590
2015-07-23,100,22.6,590
2015-07-24,100,22,580
2015-07-27,100,22.4,580
2015-07-28,100,22.5,570
2015-07-29,100,22.2,570
2015-07-30,100,24.7,570
2015-07-31,100,24.4,570
2015-08-03,100,24.5,570
2015-08-04,100,24.4,570
2015-08-05,100,23.2,570
2015-08-06,100,23.4,580
2015-08-07,100,23,610
2015-08-10,100,21.7,655
2015-08-11,100,21.4,690
2015-08-12,100,19.5,690
2015-08-13,100,19.2,706
2015-08-17,100,18.9,750
2015-08-18,100,18.6,700
2015-08-19,100,19,680
2015-08-20,100,20.4,690
2015-08-21,100,19.3,690
2015-08-24,100,18.1,690
2015-08-25,100,16,690
2015-08-26,100,15.9,740
2015-08-27,100,18.5,710
2015-08-28,100,17,680
2015-08-31,100,17.8,680
2015-09-01,100,16.9,660
2015-09-02,100,18.1,660
2015-09-03,100,17.8,570
2015-09-04,100,16.7,580
2015-09-07,100,13.5,610
2015-09-08,100,12.5,600
2015-09-09,100,14.6,590
2015-09-10,100,15.8,590
2015-09-11,100,15.2,580
2015-09-14,100,12.7,580
2015-09-15,100,11.7,580
2015-09-16,100,11.9,580
2015-09-17,100,13.3,590
2015-09-18,100,13.4,600
2015-09-21,100,13.5,580
2015-09-22,100,14.2,610
2015-09-23,100,14.2,640
2015-09-24,100,13.8,700
2015-09-25,100,13.5,660
2015-09-30,100,13,660
2015-10-01,100,13.1,630
2015-10-02,100,10.1,610
2015-10-05,100,9.4,520
2015-10-06,100,10.9,520
2015-10-07,100,12,490
2015-10-08,100,13,490
2015-10-12,100,6.7,460
2015-10-13,100,8.6,450
2015-10-14,100,10,420
2015-10-15,100,9.2,400
2015-10-16,100,9.2,400
2015-10-19,100,13.9,400
2015-10-20,100,11.3,390
2015-10-21,100,12.2,390
2015-10-22,100,8.4,390
2015-10-23,100,12.1,390
2015-10-26,100,7.4,390
2015-10-27,100,8.3,390
2015-10-28,100,5.6,390
2015-10-29,100,3.7,390
2015-10-30,100,1,380
2015-11-02,100,5.7,385
2015-11-03,100,5.4,385
2015-11-04,100,6.4,390
2015-11-05,100,8.2,390
2015-11-06,100,6.3,390
2015-11-09,100,7,405
2015-11-10,100,6.5,410
2015-11-11,100,6.1,430
2015-11-12,100,7.4,410
2015-11-13,100,7.4,430
2015-11-16,100,6.9,400
2015-11-17,100,7,420
2015-11-18,100,3.6,410
2015-11-19,100,3.9,430
2015-11-20,100,6.3,510
2015-11-23,100,3.6,510
2015-11-24,100,0.8,510
2015-11-25,100,-0.4,520
2015-11-26,100,-6.1,520
2015-11-27,100,-6.7,550
2015-11-30,100,0.5,530
2015-12-01,100,-1.7,510
2015-12-02,100,3.5,490
2015-12-03,100,-4.6,490
2015-12-07,100,-1.5,440
2015-12-08,100,0.9,440
2015-12-09,100,2,440
2015-12-10,100,4.4,440
2015-12-11,100,0.3,400
2015-12-14,100,2.3,400
2015-12-15,100,1.8,420
2015-12-16,100,-4.4,420
