date,illsa,price
2018-01-02,9.68,685
2018-01-03,10.78,683
2018-01-04,8.22,685
2018-01-05,9.14,685
2018-01-08,5.87,700
2018-01-09,10.17,700
2018-01-10,8.85,700
2018-01-11,11.26,700
2018-01-12,11.94,696
2018-01-15,8.76,680
2018-01-16,6.5,700
2018-01-17,2.73,640
2018-01-18,5.91,626
2018-01-19,11.38,630
2018-01-22,6.12,636
2018-01-23,12.92,650
2018-01-24,13.14,646
2018-01-25,12.61,640
2018-01-26,13.28,640
2018-01-29,13.44,690
2018-01-30,13.2,780
2018-01-31,7.53,830
2018-02-01,13.83,836
2018-02-02,10.1,910
2018-02-05,14.39,1000
2018-02-06,14.35,1060
2018-02-07,14.92,1090
2018-02-08,13.52,1050
2018-02-09,10.27,1020
2018-02-12,15.08,930
2018-02-13,14.66,910
2018-02-14,5.32,880
2018-02-19,11.59,820
2018-02-20,13.22,840
2018-02-21,14.72,840
2018-02-22,14.66,820
2018-02-23,14.31,820
2018-02-26,16.84,850
2018-02-27,6.04,860
2018-02-28,1.36,860
2018-03-02,18.98,860
2018-03-05,5.73,860
2018-03-06,14.92,880
2018-03-07,10.7,880
2018-03-08,2.82,870
2018-03-09,6.09,870
2018-03-12,17.37,920
2018-03-13,18.35,860
2018-03-14,18.57,890
2018-03-15,2.22,880
2018-03-16,5.19,830
2018-03-19,2.31,830
2018-03-20,5.6,820
2018-03-21,6.79,840
2018-03-22,22.32,900
2018-03-23,21.42,920
2018-03-26,21.23,920
2018-03-27,21.12,910
2018-03-28,16.48,890
2018-03-29,17.25,860
2018-03-30,21.07,850
2018-04-02,21.13,850
2018-04-03,20.4,850
2018-04-04,4.6,820
2018-04-05,2.62,830
2018-04-06,17.4,790
2018-04-09,24.01,800
2018-04-10,19.02,830
2018-04-11,24.47,830
2018-04-12,24.81,840
2018-04-13,17.21,820
2018-04-16,25.55,830
2018-04-17,17.71,840
2018-04-18,24.94,810
2018-04-19,24.26,800
2018-04-20,24.26,800
2018-04-23,2.42,820
2018-04-24,4.59,820
2018-04-25,25.57,820
2018-04-26,22.07,790
2018-04-27,22.98,780
2018-04-30,22.55,800
2018-05-02,3.37,800
2018-05-03,12.12,780
2018-05-04,24.23,790
2018-05-08,5.52,720
2018-05-09,4.81,705
2018-05-10,26.28,705
2018-05-11,24.79,670
2018-05-14,25.64,663
2018-05-15,24.69,678
2018-05-16,2.33,678
2018-05-17,5.64,678
2018-05-18,3.96,675
2018-05-21,26.76,600
2018-05-23,29.02,540
2018-05-24,28.03,530
2018-05-25,27.59,530
2018-05-28,26.29,520
2018-05-29,21.99,520
2018-05-30,23.07,520
2018-05-31,28.73,510
2018-06-01,28.54,510
2018-06-04,22.49,490
2018-06-05,22.02,490
2018-06-07,25.16,490
2018-06-08,26.3,490
2018-06-11,5.03,500
2018-06-12,24.76,490
2018-06-14,9.09,550
2018-06-15,6.53,560
2018-06-18,24.34,600
2018-06-19,14.27,600
2018-06-20,25.91,590
2018-06-21,29.34,580
2018-06-22,29.19,590
2018-06-25,20.42,640
2018-06-26,5.36,650
2018-06-27,25.85,690
2018-06-28,15.91,707
2018-06-29,21.41,667
2018-07-02,5.96,687
2018-07-03,15.4,693
2018-07-04,11.25,680
2018-07-05,7.69,670
2018-07-06,10.53,660
2018-07-09,4.4,720
2018-07-10,10.22,730
2018-07-11,5.43,860
2018-07-12,16.84,880
2018-07-13,23.77,920
2018-07-16,28.47,1021
2018-07-17,28.08,951
2018-07-18,28.13,1000
2018-07-19,27.96,1060
2018-07-20,28.18,1080
2018-07-23,19.41,1240
2018-07-24,22.55,1320
2018-07-25,21.64,1340
2018-07-26,25.55,1472
2018-07-27,24.44,1620
2018-07-30,10.42,1580
2018-07-31,26.51,1700
2018-08-01,27.24,1600
2018-08-02,25.38,1560
2018-08-03,25.54,1480
2018-08-06,5.6,1520
2018-08-07,17.33,1560
2018-08-08,17.53,1560
2018-08-09,10.71,1500
2018-08-10,13.82,1520
2018-08-13,19.12,1500
2018-08-14,15.71,1540
2018-08-16,10.55,1700
2018-08-17,11.37,1840
2018-08-20,17.07,1980
2018-08-21,11.44,2040
2018-08-22,21.26,2100
2018-08-23,4.73,2280
2018-08-24,6.26,2500
2018-08-27,5.39,2360
2018-08-28,11.72,2460
2018-08-29,5.94,2300
2018-08-30,12.33,2180
2018-08-31,17.01,2020
2018-09-03,6.15,1940
2018-09-04,18.37,1700
2018-09-05,20.35,1640
2018-09-06,14.12,1620
2018-09-07,11.08,1540
2018-09-10,10.71,1520
2018-09-11,9.79,1580
2018-09-12,8.96,1600
2018-09-13,9.18,1560
2018-09-14,3.36,1500
2018-09-17,16.96,1480
2018-09-18,16.04,1440
2018-09-19,15.19,1440
2018-09-20,2.13,1380
2018-09-21,2.72,1400
2018-09-27,12.41,1260
2018-09-28,7.98,1180
2018-10-01,15.56,1100
2018-10-02,15.68,1020
2018-10-04,6.44,870
2018-10-05,1.68,910
2018-10-08,14.55,1000
2018-10-10,13.81,900
2018-10-11,14.59,840
2018-10-12,15.29,810
2018-10-15,13.67,807
2018-10-16,10.07,827
2018-10-17,4.08,810
2018-10-18,4.02,790
2018-10-19,12.0,810
2018-10-22,11.82,820
2018-10-23,7.13,780
2018-10-24,13.32,780
2018-10-25,12.8,780
2018-10-26,4.42,780
2018-10-29,9.35,790
2018-10-30,12.97,780
2018-10-31,12.55,780
2018-11-01,12.46,780
2018-11-02,12.51,790
2018-11-05,9.5,810
2018-11-06,9.41,830
2018-11-07,1.89,810
2018-11-08,1.19,820
2018-11-09,7.82,820
2018-11-12,6.07,760
2018-11-13,5.06,760
2018-11-14,4.73,780
2018-11-15,8.24,780
2018-11-16,4.51,720
2018-11-19,9.47,740
2018-11-20,9.68,720
2018-11-21,3.53,720
2018-11-22,10.94,700
2018-11-23,9.88,750
2018-11-26,9.85,700
2018-11-27,5.56,640
2018-11-28,6.88,660
2018-11-29,6.48,660
2018-11-30,9.72,680
2018-12-03,1.23,663
2018-12-04,3.73,650
2018-12-05,6.76,657
2018-12-06,4.67,670
2018-12-10,8.75,697
2018-12-11,1.55,697
2018-12-12,7.96,697
2018-12-13,5.16,697
2018-12-14,9.29,647
2018-12-17,8.09,610
2018-12-18,8.41,570
2018-12-19,7.68,560
2018-12-20,7.31,560
2018-12-21,7.93,560
2018-12-24,9.02,560
2018-12-26,8.21,580
2018-12-27,9.12,547
2018-12-28,8.95,547
2018-12-31,8.93,553
