date,illsa,price
2016-01-04,9.43,440
2016-01-05,9.18,450
2016-01-06,9.93,450
2016-01-07,10.75,455
2016-01-08,10.84,455
2016-01-11,10.99,470
2016-01-12,11.68,470
2016-01-13,10.78,470
2016-01-14,11.02,480
2016-01-15,11.49,480
2016-01-18,8.96,510
2016-01-19,11.79,530
2016-01-20,11.0,570
2016-01-21,7.51,580
2016-01-22,9.58,630
2016-01-25,12.58,690
2016-01-26,10.93,670
2016-01-27,11.08,740
2016-01-28,4.46,740
2016-01-29,2.11,760
2016-02-01,13.43,710
2016-02-02,14.22,700
2016-02-03,14.9,710
2016-02-04,13.91,710
2016-02-05,13.17,720
2016-02-11,12.21,700
2016-02-12,3.29,700
2016-02-15,16.67,760
2016-02-16,12.23,800
2016-02-17,16.44,840
2016-02-18,12.94,880
2016-02-19,9.06,900
2016-02-22,8.97,880
2016-02-23,10.2,940
2016-02-24,10.06,960
2016-02-25,13.5,920
2016-02-26,17.58,980
2016-03-02,15.67,1110
2016-03-03,15.81,1100
2016-03-04,10.06,1100
2016-03-07,11.0,1160
2016-03-08,8.93,1180
2016-03-09,9.32,1180
2016-03-10,19.35,1180
2016-03-11,20.35,1180
2016-03-14,10.33,1160
2016-03-15,20.51,1160
2016-03-16,16.23,1180
2016-03-17,16.58,1180
2016-03-18,12.76,1200
2016-03-21,19.73,1200
2016-03-22,13.73,1220
2016-03-23,6.6,1220
2016-03-24,10.74,1200
2016-03-25,12.04,1220
2016-03-28,21.35,1320
2016-03-29,16.51,1320
2016-03-30,21.4,1320
2016-03-31,17.75,1320
2016-04-01,21.27,1440
2016-04-04,19.36,1460
2016-04-05,23.41,1500
2016-04-06,18.54,1520
2016-04-07,14.44,1560
2016-04-08,22.96,1560
2016-04-11,19.4,1560
2016-04-12,18.58,1540
2016-04-14,22.67,1520
2016-04-15,24.11,1500
2016-04-18,23.04,1520
2016-04-19,22.31,1480
2016-04-20,18.35,1480
2016-04-21,7.84,1489
2016-04-22,24.32,1500
2016-04-25,24.58,1520
2016-04-26,20.96,1520
2016-04-27,2.76,1460
2016-04-28,19.58,1520
2016-04-29,24.16,1510
2016-05-02,25.07,1400
2016-05-03,15.95,1360
2016-05-04,15.72,1260
2016-05-09,21.15,1140
2016-05-10,2.95,1140
2016-05-11,23.58,1140
2016-05-12,26.95,1100
2016-05-13,18.37,1080
