date,uga,price
2015-01-02,53.27,445
2015-01-05,50.98,450
2015-01-06,48.08,450
2015-01-07,46.6,450
2015-01-08,47.5,450
2015-01-09,47.41,450
2015-01-12,45.67,450
2015-01-13,43.3,450
2015-01-14,42.55,450
2015-01-15,44.48,430
2015-01-16,43.92,430
2015-01-19,46.04,430
2015-01-20,44.82,430
2015-01-21,44.75,430
2015-01-22,44.65,430
2015-01-23,44.42,430
2015-01-26,44.15,430
2015-01-27,43.63,440
2015-01-28,44.83,440
2015-01-29,44.63,440
2015-01-30,45.59,440
2015-02-02,48.81,440
2015-02-03,52.62,450
2015-02-04,54.72,450
2015-02-05,51.41,450
2015-02-06,54.23,450
2015-02-09,55.37,450
2015-02-10,55.83,450
2015-02-11,54.91,450
2015-02-12,54.75,520
2015-02-13,57.7,530
2015-02-16,58.83,530
2015-02-17,58.89,530
2015-02-23,57.29,500
2015-02-24,56.06,500
2015-02-25,55.84,510
2015-02-26,58.42,510
2015-02-27,57.39,500
2015-03-02,59.58,490
2015-03-03,57.15,490
2015-03-04,57.8,480
2015-03-05,57.35,480
2015-03-06,57.26,480
2015-03-09,56.58,480
2015-03-10,55.48,480
2015-03-11,53.5,480
2015-03-12,55.4,480
2015-03-13,54.96,480
2015-03-16,52.75,480
2015-03-17,51.64,480
2015-03-18,51.24,480
2015-03-19,53.4,490
2015-03-20,52.06,490
2015-03-23,52.87,490
2015-03-24,53.4,490
2015-03-25,52.69,490
2015-03-26,53.99,510
2015-03-27,56.37,510
2015-03-30,53.95,500
2015-03-31,53.84,500
2015-04-01,52.83,500
2015-04-02,54.63,500
2015-04-03,54.82,500
2015-04-06,53.95,500
2015-04-07,55.01,500
2015-04-08,55.92,520
2015-04-09,53.31,540
2015-04-10,54.28,530
2015-04-13,56.58,510
2015-04-14,56.32,520
2015-04-15,56.82,470
2015-04-16,58.66,470
2015-04-17,59.21,470
2015-04-20,59.34,470
2015-04-21,59.25,470
2015-04-22,58.03,470
2015-04-23,58.6,470
2015-04-24,61.43,470
2015-04-27,62.0,460
2015-04-28,61.62,460
2015-04-29,61.65,450
2015-04-30,62.69,450
2015-05-04,63.03,510
2015-05-06,64.79,490
2015-05-07,65.06,490
2015-05-08,62.96,490
2015-05-11,62.84,500
2015-05-12,62.4,490
2015-05-13,64.21,490
2015-05-14,63.61,490
2015-05-15,63.49,490
2015-05-18,63.58,500
2015-05-19,62.79,520
2015-05-20,61.75,520
2015-05-21,62.68,520
2015-05-22,64.03,540
2015-05-26,63.07,560
2015-05-27,62.11,580
2015-05-28,60.64,620
2015-05-29,61.11,650
2015-06-01,61.705,670
2015-06-02,62.49,700
2015-06-03,62.3,700
2015-06-04,60.71,715
2015-06-05,59.03,710
2015-06-08,60.23,705
2015-06-09,59.64,705
2015-06-10,62.66,695
2015-06-11,63.44,667
2015-06-12,62.42,660
2015-06-15,61.29,680
2015-06-16,60.46,730
2015-06-17,60.81,710
2015-06-18,60.98,690
2015-06-19,60.93,690
2015-06-22,59.82,680
2015-06-23,60.11,610
2015-06-24,61.09,610
2015-06-25,60.26,630
2015-06-26,60.01,650
2015-06-29,59.36,700
2015-06-30,59.56,730
2015-07-01,60.93,800
2015-07-02,59.51,830
2015-07-03,59.45,830
2015-07-06,57.93,830
2015-07-07,55.16,910
2015-07-08,54.98,970
2015-07-09,56.69,1010
2015-07-10,58.19,1010
2015-07-13,57.75,1060
2015-07-14,56.25,1050
2015-07-15,56.93,990
2015-07-16,55.75,950
2015-07-17,62.365,910
2015-07-20,55.4,900
2015-07-21,54.68,900
2015-07-22,55.03,900
2015-07-23,54.22,870
2015-07-24,53.45,870
2015-07-27,52.87,820
2015-07-28,51.85,830
2015-07-29,51.86,830
2015-07-30,52.53,860
2015-07-31,52.07,820
2015-08-03,51.11,760
2015-08-04,50.13,750
2015-08-05,50.09,740
2015-08-06,49.71,680
2015-08-07,50.15,693
2015-08-10,50.15,718
2015-08-11,50.59,713
2015-08-12,49.37,715
2015-08-13,49.87,711
2015-08-17,48.53,690
2015-08-18,48.22,650
2015-08-19,48.27,600
2015-08-20,46.73,600
2015-08-21,46.23,600
2015-08-24,44.4,610
2015-08-25,42.66,630
2015-08-26,42.94,710
2015-08-27,43.57,660
2015-08-28,46.84,600
2015-08-31,48.72,540
2015-09-01,49.98,490
2015-09-02,46.16,500
2015-09-03,47.01,495
2015-09-04,47.19,480
2015-09-07,46.6,490
2015-09-08,45.93,480
2015-09-09,47.55,470
2015-09-10,45.75,470
2015-09-11,51.1,460
2015-09-14,45.47,400
2015-09-15,43.87,400
2015-09-16,44.08,390
2015-09-17,46.78,390
2015-09-18,45.99,380
2015-09-21,44.58,410
2015-09-22,45.0,420
2015-09-23,45.13,470
2015-09-24,51.1,510
2015-09-25,44.98,510
2015-09-30,44.31,500
2015-10-01,45.92,490
2015-10-02,45.38,520
2015-10-05,45.91,480
2015-10-06,46.48,480
2015-10-07,48.97,430
2015-10-08,48.41,420
2015-10-12,49.61,420
2015-10-13,47.08,430
2015-10-14,46.52,430
2015-10-15,46.44,425
2015-10-16,46.58,425
2015-10-19,46.22,415
2015-10-20,44.61,400
2015-10-21,44.43,395
2015-10-22,43.71,395
2015-10-23,43.9,385
2015-10-26,43.48,410
2015-10-27,43.01,410
2015-10-28,43.11,415
2015-10-29,44.45,425
2015-10-30,43.94,445
2015-11-02,44.55,455
2015-11-03,43.89,445
2015-11-04,45.45,428
2015-11-05,43.7,428
2015-11-06,43.16,428
2015-11-09,42.88,433
2015-11-10,51.1,438
2015-11-11,42.59,450
2015-11-12,41.68,450
2015-11-13,40.77,460
2015-11-16,40.35,440
2015-11-17,40.39,440
2015-11-18,39.64,430
2015-11-19,40.13,435
2015-11-20,40.07,445
2015-11-23,39.57,445
2015-11-24,40.7,455
2015-11-25,41.4,500
2015-11-26,40.94,500
2015-11-27,40.37,510
2015-11-30,39.87,500
2015-12-01,39.8,490
2015-12-02,39.75,490
2015-12-03,38.29,490
2015-12-07,38.35,460
2015-12-08,36.91,460
2015-12-09,36.49,460
2015-12-10,36.51,450
2015-12-11,36.2,440
2015-12-14,34.64,450
2015-12-15,33.82,470
2015-12-16,34.24,475
2015-12-17,32.86,475
2015-12-18,32.98,475
2015-12-21,31.98,445
2015-12-22,32.0,445
2015-12-23,31.82,440
2015-12-24,32.83,440
2015-12-28,32.61,440
2015-12-29,32.11,440
2015-12-30,32.74,455
2015-12-31,32.19,460
