date,place,gangsu,price
2015-01-02,100.0,,380
2015-01-05,100.0,0.7,380
2015-01-06,100.0,1.4,380
2015-01-07,100.0,,380
2015-01-08,100.0,,380
2015-01-09,100.0,,380
2015-01-12,100.0,,380
2015-01-13,100.0,,380
2015-01-14,100.0,,380
2015-01-15,100.0,0.3,380
2015-01-16,100.0,0.3,380
2015-01-19,100.0,0.9,380
2015-01-20,100.0,,380
2015-01-21,100.0,0.1,380
2015-01-22,100.0,11.0,380
2015-01-23,100.0,,380
2015-01-26,100.0,1.5,380
2015-01-27,100.0,0.2,380
2015-01-28,100.0,0.7,380
2015-01-29,100.0,0.5,380
2015-01-30,100.0,0.1,380
2015-02-02,100.0,,390
2015-02-03,100.0,,390
2015-02-04,100.0,,390
2015-02-05,100.0,0.9,390
2015-02-06,100.0,,390
2015-02-09,100.0,0.0,400
2015-02-10,100.0,0.0,400
2015-02-11,100.0,,410
2015-02-12,100.0,,440
2015-02-13,100.0,,440
2015-02-16,100.0,7.0,440
2015-02-17,100.0,2.7,440
2015-02-23,100.0,,410
2015-02-24,100.0,,410
2015-02-25,100.0,,440
2015-02-26,100.0,0.3,440
2015-02-27,100.0,,440
2015-03-02,100.0,,450
2015-03-03,100.0,0.3,450
2015-03-04,100.0,,470
2015-03-05,100.0,,470
2015-03-06,100.0,,470
2015-03-09,100.0,,470
2015-03-10,100.0,,470
2015-03-11,100.0,0.2,470
2015-03-12,100.0,,480
2015-03-13,100.0,3.0,480
2015-03-16,100.0,,480
2015-03-17,100.0,,480
2015-03-18,100.0,15.5,490
2015-03-19,100.0,,500
2015-03-20,100.0,,490
2015-03-23,100.0,,510
2015-03-24,100.0,,510
2015-03-25,100.0,,510
2015-03-26,100.0,,510
2015-03-27,100.0,,510
2015-03-30,100.0,,500
2015-03-31,100.0,2.5,500
2015-04-01,100.0,5.5,490
2015-04-02,100.0,5.0,500
2015-04-03,100.0,19.5,500
2015-04-06,100.0,,500
2015-04-07,100.0,2.0,500
2015-04-08,100.0,,500
2015-04-09,100.0,,480
2015-04-10,100.0,,480
2015-04-13,100.0,5.0,480
2015-04-14,100.0,7.0,480
2015-04-15,100.0,0.2,480
